id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
20781,KOXB,medium_airport,Ocean City Municipal Airport,38.310398,-75.124001,11,NA,US,US-MD,Ocean City,yes,KOXB,OCE,KOXB,OXB,http://oceancitymd.gov/oc/departments/public-works/airport/,https://en.wikipedia.org/wiki/Ocean_City_Municipal_Airport_(Maryland),
20712,KOCF,small_airport,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,90,NA,US,US-FL,Ocala,no,KOCF,OCF,KOCF,OCF,http://www.ocalafl.org/airport/,https://en.wikipedia.org/wiki/Ocala_International_Airport,
20713,KOCH,small_airport,A L Mangham Jr. Regional Airport,31.57799911,-94.70950317,355,NA,US,US-TX,Nacogdoches,no,KOCH,OCH,KOCH,OCH,http://www.ci.nacogdoches.tx.us/index.aspx?nid=634,,
4679,MKBS,medium_airport,Ian Fleming International Airport,18.404079,-76.969754,90,NA,JM,JM-05,Boscobel,yes,MKBS,OCJ,MKBS,,http://www.aaj.com.jm/ourairports/index.php#boscobel,https://en.wikipedia.org/wiki/Ian_Fleming_International_Airport,Boscobel Aerodrome
298811,YBGD,small_airport,Boolgeeda,-22.541111,117.269444,1871,OC,AU,AU-WA,,no,YBGD,OCM,YBGD,,,https://en.wikipedia.org/wiki/Boolgeeda_Airport,
20732,KOKB,medium_airport,Oceanside Municipal Airport,33.217947,-117.351683,28,NA,US,US-CA,Oceanside,no,KOKB,OCN,KOKB,OKB,https://www.oceansidemunicipalairport.com/,https://en.wikipedia.org/wiki/Oceanside_Municipal_Airport,Bob Maxwell Field
316826,OCS,large_airport,Corisco International Airport,0.910937,9.33027,55,AF,GQ,GQ-LI,Corisco Island,yes,,OCS,FGCO,,,https://en.wikipedia.org/wiki/Corisco_International_Airport,
6142,SKOC,medium_airport,Aguas Claras Airport,8.31506,-73.3583,3850,SA,CO,CO-NSA,Ocaña,no,SKOC,OCV,SKOC,OCV,,https://en.wikipedia.org/wiki/Aguas_Claras_Airport,
20715,KOCW,small_airport,Warren Field,35.570499420166,-77.049797058105,38,NA,US,US-NC,Washington,no,KOCW,OCW,KOCW,OCW,http://www.washingtonnc.gov/airport,,
32083,FEFW,small_airport,Ouadda Airport,8.01056003570557,22.3985996246338,2461,AF,CF,CF-HK,Ouadda,no,FEFW,ODA,FEFW,,,https://en.wikipedia.org/wiki/Ouadda_Airport,
4000,LEBA,medium_airport,Córdoba Airport,37.841999,-4.84888,297,EU,ES,ES-AN,Córdoba,no,LEBA,ODB,LEBA,,https://www.aena.es/en/cordoba.html,https://en.wikipedia.org/wiki/C%C3%B3rdoba_Airport,
20682,KO27,small_airport,Oakdale Airport,37.75630188,-120.8000031,237,NA,US,US-CA,Oakdale,no,,ODC,O27,O27,http://www.oakdalegov.com/#!oakdale-municipal-airport/c1tnd,https://en.wikipedia.org/wiki/Oakdale_Airport,
27869,YOOD,small_airport,Oodnadatta Airport,-27.562473,135.442946,118,OC,AU,AU-SA,,no,YOOD,ODD,YOOD,,,https://en.wikipedia.org/wiki/Oodnadatta_Airport,
2549,EKOD,large_airport,Odense Hans Christian Andersen Airport,55.475307,10.327206,56,EU,DK,DK-83,Odense,yes,EKOD,ODE,EKOD,,,https://en.wikipedia.org/wiki/Hans_Christian_Andersen_Airport,Beldringe
2494,EGVO,medium_airport,RAF Odiham,51.2341,-0.942825,405,EU,GB,GB-ENG,"Hook, Hampshire",no,EGVO,ODH,EGVO,,,https://en.wikipedia.org/wiki/RAF_Odiham,Odiham
32084,FEGO,small_airport,Ouanda Djallé Airport,8.89999961853027,22.7830009460449,1985,AF,CF,CF-VR,Ouanda Djallé,no,FEGO,ODJ,FEGO,,,https://en.wikipedia.org/wiki/Ouanda_Djall%C3%A9_Airport,
32085,YCOD,small_airport,Cordillo Downs Airport,-26.7453002929688,140.638000488281,125,OC,AU,AU-SA,Cordillo Downs,no,YCOD,ODL,YCOD,,,,
18585,K2G4,small_airport,Garrett County Airport,39.580819,-79.33573,2933,NA,US,US-MD,Accident,no,,ODM,K2G4,2G4,https://www.garrettcounty.org/airport-2g4,https://en.wikipedia.org/wiki/Garrett_County_Airport,
32086,WBGI,small_airport,Long Seridan Airport,3.976087,115.067303,607,AS,MY,MY-13,Long Seridan,yes,WBGI,ODN,WBGI,,,https://en.wikipedia.org/wiki/Long_Seridan_Airport,
32524,UIKB,small_airport,Bodaybo Airport,57.8661003113,114.242996216,919,AS,RU,RU-IRK,Bodaybo,yes,UIKB,ODO,UIKB,,,https://en.wikipedia.org/wiki/Bodaybo_Airport,"Bodaibo Airport, Аэропорт Бодайбо"
32087,YORV,small_airport,Ord River Airport,-17.340799331665,128.912002563477,390,OC,AU,AU-WA,Ord River,no,YORV,ODR,YORV,,,,
6487,UKOO,large_airport,Odesa International Airport,46.427196,30.672649,172,EU,UA,UA-51,Odesa,no,UKOO,ODS,UKOO,,https://www.airport.od.ua/,https://en.wikipedia.org/wiki/Odessa_International_Airport,"Odesa Central, Міжнародний аеропорт Одеса, Odessa Airport"
20716,KODO,small_airport,Odessa Schlemeyer Field,31.920601,-102.387001,3004,NA,US,US-TX,Odessa,no,,ODT,KODO,ODO,http://www.co.ector.tx.us/default.aspx?Ector_County/SchlemeyerAirport,https://en.wikipedia.org/wiki/Odessa-Schlemeyer_Field,"E02, Ector County"
19035,KOKH,small_airport,AJ Eisenberg Airport,48.251499176,-122.674003601,193,NA,US,US-WA,Oak Harbor,no,KOKH,ODW,KOKH,OKH,,https://en.wikipedia.org/wiki/A.J._Eisenberg_Airport,"Formerly 76S, Wes Lupien"
32582,VLOS,small_airport,Oudomsay Airport,20.6826992034912,101.994003295898,1804,AS,LA,LA-OU,Oudomsay,yes,VLOS,ODY,VLOS,,,https://en.wikipedia.org/wiki/Oudomsay_Airport,
20718,KOEA,small_airport,O'Neal Airport,38.68521,-87.543138,414,NA,US,US-IL,Lawrenceville,no,,OEA,KOEA,OEA,,https://en.wikipedia.org/wiki/O%27Neal_Airport,
35138,WPOC,large_airport,Oecusse Route of the Sandalwood International Airport,-9.198419,124.337873,,AS,TL,TL-OE,Oecussi-Ambeno,yes,WPOC,OEC,WPOC,,,https://en.wikipedia.org/wiki/Oecussi_Airport,"Oe-Kusi Ambenu, Ocussi, Oekussi, Oekusi, Okusi, Oé-Cusse"
32092,SMPA,small_airport,Vincent Fayks Airport,3.346051,-55.443707,714,SA,SR,SR-SI,Paloemeu,no,SMPA,OEM,SMPA,,,https://en.wikipedia.org/wiki/Vincent_Fayks_Airstrip,Faiks
20721,KOEO,small_airport,L O Simenstad Municipal Airport,45.310001,-92.691902,903,NA,US,US-WI,Osceola,no,KOEO,OEO,KOEO,OEO,https://osceolaaero.com,https://en.wikipedia.org/wiki/L.O._Simenstad_Municipal_Airport,
2683,ESNO,medium_airport,Örnsköldsvik Airport,63.4082984924316,18.9899997711182,354,EU,SE,SE-Y,Örnsköldsvik,yes,ESNO,OER,ESNO,,,https://en.wikipedia.org/wiki/%C3%96rnsk%C3%B6ldsvik_Airport,
5826,SAVN,small_airport,Antoine de Saint Exupéry Airport,-40.7512,-65.0343,85,SA,AR,AR-R,San Antonio Oeste,yes,SAVN,OES,SAVN,SAN,,https://en.wikipedia.org/wiki/Antoine_de_Saint_Exupéry_Airport,
3745,KOFF,medium_airport,Offutt Air Force Base,41.119307,-95.90851,1052,NA,US,US-NE,Omaha,no,KOFF,OFF,KOFF,OFF,http://www.offutt.af.mil/,https://en.wikipedia.org/wiki/Offutt_Air_Force_Base,
32095,DIOF,small_airport,Ouango Fitini Airport,9.6,-4.05,974,AF,CI,CI-ZZ,Ouango Fitini,no,DIOF,OFI,DIOF,,,https://en.wikipedia.org/wiki/Ouango_Fitini_Airport,
20722,KOFK,medium_airport,Karl Stefan Memorial Airport,41.985500335693,-97.435096740723,1573,NA,US,US-NE,Norfolk,no,KOFK,OFK,KOFK,OFK,http://www.norfolkairportservices.com/default.htm,https://en.wikipedia.org/wiki/Norfolk_Regional_Airport,
32097,NSAS,small_airport,Ofu Airport,-14.1844,-169.669998,9,OC,AS,AS-MA,Ofu,yes,NSAS,OFU,NSAS,Z08,,https://en.wikipedia.org/wiki/Ofu_Airport,
20724,KOGA,small_airport,Ogallala Municipal Airport Searle Field,41.119499,-101.769997,3279,NA,US,US-NE,Ogallala,no,KOGA,OGA,KOGA,OGA,http://www.ogallala-ne.gov/city_services/airport/index.php,,
20725,KOGB,medium_airport,Orangeburg Municipal Airport,33.456798553467,-80.859497070312,195,NA,US,US-SC,Orangeburg,no,KOGB,OGB,KOGB,OGB,http://www.orangeburg.sc.us/index.php?option=com_content&view=article&id=18&Itemid=69,https://en.wikipedia.org/wiki/Orangeburg_Municipal_Airport,
3746,KOGD,medium_airport,Ogden Hinckley Airport,41.195899963379,-112.0120010376,4473,NA,US,US-UT,Ogden,yes,KOGD,OGD,KOGD,OGD,http://flyogden.com/,https://en.wikipedia.org/wiki/Ogden-Hinckley_Airport,
306980,AYOG,small_airport,Ogeranang Airport,-6.46675,147.364166667,5850,OC,PG,PG-MPL,,no,AYOG,OGE,AYOG,OGN,,,
